Package version:,2.1.7
Scenario:,forest
Connectivity:,global
Planner type:,frontier
Robot count:,3
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Distance (robot 2) [m], Map uncertainty (robot 2) [-], Distance (robot 3) [m], Map uncertainty (robot 3) [-], Navigation failures
48.9027, 0.550339, 0.531042, 93.8632, 38.9885, 0.530833, 34.0322, 0.530833, 20.8425, 0.530833, 0
49.252, 0.548906, 0.529931, 94.6351, 39.289, 0.529861, 34.4302, 0.529722, 20.9158, 0.529931, 0
49.6092, 0.547619, 0.528542, 95.447, 39.6909, 0.528333, 34.7997, 0.528542, 20.9564, 0.528542, 0
49.9502, 0.546458, 0.527153, 96.1249, 40.0238, 0.527153, 35.1325, 0.527222, 20.9686, 0.527153, 0
50.2952, 0.545244, 0.526319, 96.8271, 40.3566, 0.526181, 35.4328, 0.526181, 21.0377, 0.526111, 0
50.6362, 0.544561, 0.525417, 97.1918, 40.6895, 0.525347, 35.4563, 0.525417, 21.046, 0.525417, 0
51.0217, 0.544014, 0.524931, 97.5976, 41.0871, 0.524931, 35.4563, 0.524931, 21.0541, 0.524931, 0
51.3912, 0.543444, 0.524375, 98.0364, 41.4567, 0.524375, 35.4563, 0.524444, 21.1234, 0.524444, 0
51.7365, 0.542953, 0.523889, 98.4102, 41.8222, 0.523889, 35.4563, 0.523958, 21.1317, 0.523889, 0
52.0855, 0.542456, 0.523403, 98.7187, 42.1226, 0.523403, 35.4563, 0.523403, 21.1398, 0.523403, 0
52.4547, 0.541833, 0.522847, 99.1934, 42.4878, 0.522778, 35.4887, 0.522778, 21.2169, 0.522778, 0
52.8279, 0.541322, 0.522361, 99.6763, 42.8894, 0.522361, 35.5618, 0.522361, 21.2251, 0.522361, 0
53.1647, 0.540897, 0.521736, 100.017, 43.1897, 0.521736, 35.57, 0.521736, 21.2576, 0.521736, 0
53.5177, 0.540364, 0.521528, 100.484, 43.5548, 0.521389, 35.639, 0.521389, 21.2902, 0.521528, 0
53.8707, 0.539944, 0.520903, 100.959, 43.8875, 0.520903, 35.708, 0.520903, 21.3633, 0.521042, 0
54.2482, 0.539414, 0.520486, 101.669, 44.3218, 0.520486, 35.8786, 0.520486, 21.4689, 0.520486, 0
54.5974, 0.539044, 0.520069, 102.246, 44.6872, 0.519931, 35.9842, 0.520069, 21.5745, 0.520069, 0
54.9667, 0.538592, 0.519653, 102.624, 45.0565, 0.519653, 35.9883, 0.519653, 21.5787, 0.519653, 0
55.3035, 0.538256, 0.519306, 102.969, 45.3568, 0.519306, 35.9964, 0.519306, 21.6153, 0.519306, 0
55.6406, 0.537906, 0.519028, 103.501, 45.6898, 0.519028, 36.0979, 0.519028, 21.7129, 0.519028, 0
55.9775, 0.537608, 0.518889, 103.98, 46.0552, 0.518819, 36.2035, 0.518889, 21.7211, 0.518889, 0
56.3388, 0.537258, 0.518333, 104.418, 46.3557, 0.518264, 36.2767, 0.518333, 21.786, 0.518264, 0
56.7083, 0.536908, 0.518125, 104.849, 46.721, 0.518125, 36.3092, 0.518125, 21.8186, 0.518125, 0
57.0493, 0.536603, 0.517569, 105.385, 47.0538, 0.517569, 36.4473, 0.517569, 21.8837, 0.517569, 0
57.4144, 0.536303, 0.517431, 105.982, 47.4557, 0.517431, 36.5123, 0.517431, 22.0137, 0.517431, 0
57.7837, 0.536103, 0.516944, 106.229, 47.5571, 0.516944, 36.6178, 0.516944, 22.0544, 0.516944, 0
58.1206, 0.536036, 0.516944, 106.388, 47.691, 0.516944, 36.6301, 0.516944, 22.0667, 0.516944, 0
58.4698, 0.535517, 0.516528, 106.899, 48.0565, 0.516528, 36.7032, 0.516528, 22.1397, 0.516597, 0
58.8066, 0.534933, 0.515833, 107.224, 48.3567, 0.515833, 36.7237, 0.515833, 22.1439, 0.515833, 0
59.176, 0.534286, 0.515208, 107.728, 48.7221, 0.515069, 36.7319, 0.515208, 22.2738, 0.515208, 0
59.5211, 0.533689, 0.514444, 108.26, 49.0915, 0.514444, 36.8457, 0.514444, 22.3227, 0.514653, 0
59.8701, 0.532942, 0.513958, 108.682, 49.4243, 0.513819, 36.8903, 0.513819, 22.3673, 0.513958, 0
60.2232, 0.532253, 0.513264, 109.039, 49.757, 0.513125, 36.9024, 0.513125, 22.3794, 0.513194, 0
60.5601, 0.531594, 0.512708, 109.437, 50.09, 0.512292, 36.935, 0.512361, 22.412, 0.512569, 0
60.8972, 0.530894, 0.511528, 109.916, 50.488, 0.511528, 36.9756, 0.511528, 22.4526, 0.511736, 0
61.2626, 0.530006, 0.510694, 110.367, 50.8249, 0.510486, 37.0812, 0.510694, 22.4609, 0.510694, 0
61.6035, 0.529214, 0.509861, 110.716, 51.1252, 0.509653, 37.1218, 0.509861, 22.4691, 0.509861, 0
61.9809, 0.528292, 0.509167, 111.203, 51.5231, 0.509097, 37.13, 0.509167, 22.5503, 0.509167, 0
62.3219, 0.527142, 0.507778, 111.601, 51.8558, 0.507639, 37.1951, 0.507639, 22.5505, 0.507778, 0
62.6586, 0.526231, 0.506875, 112.08, 52.1885, 0.506806, 37.2682, 0.506875, 22.6235, 0.506875, 0
62.9951, 0.525172, 0.50625, 112.539, 52.5575, 0.506111, 37.3453, 0.506111, 22.6358, 0.50625, 0
63.3806, 0.524125, 0.505139, 112.945, 52.9551, 0.505, 37.3495, 0.505208, 22.64, 0.505208, 0
63.7378, 0.523031, 0.504028, 113.363, 53.3245, 0.503889, 37.3901, 0.504028, 22.6482, 0.504028, 0
64.0747, 0.522122, 0.503472, 113.753, 53.6249, 0.503264, 37.4633, 0.503472, 22.6646, 0.503472, 0
64.4159, 0.521147, 0.502431, 114.216, 53.9579, 0.502431, 37.5688, 0.502431, 22.689, 0.502431, 0
64.753, 0.520517, 0.501458, 114.581, 54.2909, 0.501389, 37.5932, 0.501389, 22.6972, 0.501458, 0
65.1267, 0.519556, 0.500486, 114.996, 54.689, 0.500486, 37.6094, 0.500486, 22.6973, 0.500486, 0
65.4759, 0.518694, 0.499792, 115.434, 54.9895, 0.499583, 37.7393, 0.499792, 22.7055, 0.499792, 0
65.8169, 0.517675, 0.498611, 115.97, 55.3549, 0.498611, 37.7799, 0.49875, 22.8353, 0.498681, 0
66.1782, 0.516983, 0.497986, 116.37, 55.7141, 0.497708, 37.8125, 0.497986, 22.8435, 0.497986, 0
66.5435, 0.515875, 0.496875, 116.817, 56.0793, 0.496736, 37.8857, 0.496875, 22.8517, 0.496875, 0
66.9129, 0.514831, 0.495694, 117.198, 56.4448, 0.495417, 37.8938, 0.495486, 22.8599, 0.495486, 0
67.2498, 0.513894, 0.494583, 117.625, 56.7817, 0.494514, 37.9628, 0.494653, 22.8803, 0.494653, 0
67.6193, 0.512917, 0.493611, 118.193, 57.1471, 0.493611, 38.1292, 0.493611, 22.9168, 0.493611, 0
67.9806, 0.511697, 0.492153, 118.689, 57.5449, 0.492153, 38.1942, 0.492153, 22.9495, 0.492153, 0
68.3296, 0.510689, 0.49125, 119.038, 57.8452, 0.491181, 38.2349, 0.49125, 22.9577, 0.491181, 0
68.6986, 0.50965, 0.49, 119.585, 58.2143, 0.489792, 38.3404, 0.489861, 23.0307, 0.489792, 0
69.0556, 0.508347, 0.488681, 120.105, 58.6118, 0.488333, 38.4135, 0.488472, 23.0796, 0.488472, 0
69.4167, 0.507044, 0.486944, 120.547, 58.9445, 0.486944, 38.4867, 0.486944, 23.1163, 0.486944, 0
69.7533, 0.5059, 0.486389, 121.042, 59.2811, 0.485556, 38.5679, 0.485833, 23.1934, 0.486111, 0
70.1064, 0.504481, 0.484653, 121.53, 59.6465, 0.484444, 38.6735, 0.484653, 23.2097, 0.484653, 0
70.4756, 0.503256, 0.483194, 122.041, 60.0116, 0.483056, 38.7791, 0.483056, 23.2505, 0.483056, 0
70.837, 0.50205, 0.481944, 122.593, 60.381, 0.481736, 38.9171, 0.482014, 23.2953, 0.481944, 0
71.1822, 0.500781, 0.480556, 123.077, 60.7465, 0.480556, 38.9577, 0.480556, 23.3724, 0.480764, 0
71.5311, 0.499333, 0.479236, 123.458, 61.1117, 0.479097, 38.9659, 0.479236, 23.3807, 0.479236, 0
71.8682, 0.498267, 0.477986, 123.905, 61.4122, 0.477847, 39.0391, 0.477986, 23.454, 0.478125, 0
72.213, 0.496964, 0.476806, 124.291, 61.745, 0.476736, 39.0798, 0.476736, 23.4662, 0.476736, 0
72.5785, 0.495578, 0.474792, 124.811, 62.1469, 0.475139, 39.1895, 0.474792, 23.4744, 0.474792, 0
72.9399, 0.494264, 0.473611, 125.168, 62.4798, 0.473125, 39.2017, 0.473611, 23.4867, 0.473611, 0
73.2931, 0.492672, 0.471875, 125.526, 62.8128, 0.471736, 39.21, 0.471736, 23.503, 0.472014, 0
73.6542, 0.490519, 0.470139, 125.98, 63.178, 0.469931, 39.283, 0.470139, 23.5191, 0.470139, 0
73.9911, 0.488825, 0.468194, 126.459, 63.5473, 0.467986, 39.3521, 0.467986, 23.5596, 0.468472, 0
74.328, 0.487194, 0.466806, 126.837, 63.8801, 0.466597, 39.3603, 0.466806, 23.5962, 0.466806, 0
74.6889, 0.485597, 0.465208, 127.323, 64.2127, 0.464931, 39.4374, 0.465139, 23.6733, 0.465, 0
75.054, 0.484478, 0.46375, 127.611, 64.4114, 0.46375, 39.5104, 0.46375, 23.6894, 0.46375, 0
